stabb,year,milexp,totalpop,milpers,urbanpop
AUS,1969,154791.0,7441.0,55.0,2383.0
AUS,1970,164722.0,7467.0,55.0,2308.0
AUS,1971,172276.0,7500.0,60.0,2310.0
AUS,1972,211984.0,7544.0,60.0,2314.0
AUS,1973,271910.0,7586.0,60.0,2318.0
AUS,1974,351210.0,7599.0,60.0,2322.0
AUS,1975,456221.0,7579.0,50.0,2326.0
AUS,1976,499028.0,7566.0,40.0,2330.0
AUS,1977,575724.0,7568.0,37.0,2335.0
AUS,1978,741427.0,7562.0,40.0,2298.0
AUS,1979,863330.0,7549.0,40.0,2286.0
AUS,1980,947596.0,7549.0,40.0,2302.0
AUS,1981,700215.0,7569.0,40.0,2317.0
AUS,1982,829546.0,7576.0,40.0,2312.0
AUS,1983,937463.0,7567.0,50.0,2307.0
AUS,1984,792584.0,7571.0,40.0,2302.0
AUS,1985,863940.0,7578.0,40.0,2297.0
AUS,1986,1230000.0,7588.0,39.0,2292.0
AUS,1987,1446000.0,7598.0,70.0,2287.0
AUS,1988,1430000.0,7615.0,55.0,2282.0
AUS,1989,1410000.0,7659.0,48.0,2277.0
AUS,1990,1540000.0,7729.0,43.0,2272.0
AUS,1991,1680000.0,7813.0,44.0,2267.0
AUS,1992,1660000.0,7914.0,52.0,2261.0
AUS,1993,1730000.0,7991.0,52.0,2256.0
AUS,1994,1600000.0,8030.0,45.0,2251.0
AUS,1995,2129000.0,8047.0,45.0,2246.0
AUS,1996,2098000.0,8058.0,45.0,2241.0
AUS,1997,1786000.0,8072.0,48.0,2236.0
AUS,1998,1796000.0,8140.0,60.0,2231.0
AUS,1999,1696000.0,8177.0,49.0,2226.0
AUS,2000,1612000.0,8211.0,40.0,2221.0
AUS,2001,1417000.0,8043.0,35.0,2216.0
AUS,2002,1532000.0,8084.0,35.0,2272.0
AUS,2003,1958000.0,8118.0,35.0,2328.0
AUS,2004,2250000.0,8175.0,37.0,2384.0
AUS,2005,2263000.0,8233.0,39.0,2440.0
AUS,2006,2630000.0,8282.0,40.0,2350.0
AUS,2007,3603000.0,8315.0,40.0,2367.0
AZE,1991,302500.0,7187.0,0.0,1665.0
AZE,1992,189860.0,7297.0,43.0,1665.0
AZE,1993,128000.0,7368.0,45.0,1773.0
AZE,1994,132000.0,7431.0,50.0,1888.0
AZE,1995,107000.0,7487.0,78.0,2010.0
AZE,1996,133000.0,7574.0,80.0,2140.0
AZE,1997,146000.0,7625.0,75.0,2279.0
AZE,1998,197000.0,7669.0,70.0,2328.0
AZE,1999,203000.0,7697.0,75.0,2376.0
AZE,2000,830000.0,7734.0,72.0,2392.0
AZE,2001,833000.0,8111.0,72.0,2408.0
AZE,2002,900000.0,8172.0,72.0,2414.0
AZE,2003,950000.0,8234.0,66.0,2427.0
AZE,2004,245000.0,8307.0,66.0,2443.0
AZE,2005,314000.0,8392.0,66.0,2466.0
AZE,2006,658000.0,8485.0,67.0,2489.0
AZE,2007,936000.0,8581.0,67.0,2512.0
BAH,1971,8847.0,218.0,1.0,0.0
BAH,1972,11172.0,227.0,3.0,0.0
BAH,1973,14525.0,238.0,3.0,0.0
BAH,1974,23562.0,250.0,2.0,0.0
BAH,1975,14665.0,262.0,2.0,0.0
BAH,1976,23508.0,275.0,2.0,0.0
BAH,1977,36138.0,289.0,2.0,0.0
BAH,1978,50593.0,303.0,2.0,101.0
BAH,1979,57667.0,319.0,2.0,103.0
BAH,1980,157809.0,334.0,2.0,106.0
BAH,1981,215604.0,355.0,2.0,109.0
BAH,1982,281023.0,374.0,2.0,111.0
BAH,1983,332550.0,391.0,2.0,113.0
BAH,1984,319082.0,407.0,3.0,114.0
BAH,1985,151000.0,425.0,3.0,116.0
BAH,1986,134840.0,442.0,4.0,118.0
BAH,1987,143365.0,458.0,4.0,120.0
BAH,1988,164894.0,473.0,5.0,122.0
BAH,1989,183560.0,489.0,5.0,124.0
BAH,1990,201920.0,503.0,8.0,126.0
BAH,1991,237000.0,508.0,8.0,128.0
BAH,1992,252000.0,519.0,7.0,140.0
BAH,1993,245000.0,537.0,7.0,141.0
BAH,1994,261000.0,557.0,8.0,143.0
BAH,1995,273000.0,578.0,8.0,144.0
BAH,1996,295000.0,599.0,9.0,146.0
BAH,1997,364000.0,620.0,9.0,147.0
BAH,1998,410000.0,595.0,9.0,149.0
BAH,1999,441000.0,606.0,9.0,150.0
BAH,2000,322000.0,617.0,11.0,152.0
BAH,2001,364000.0,661.0,11.0,153.0
BAH,2002,332000.0,711.0,11.0,158.0
BAH,2003,461000.0,765.0,11.0,163.0
BAH,2004,474000.0,824.0,11.0,167.0
BAH,2005,500000.0,889.0,11.0,172.0
BAH,2006,532000.0,960.0,11.0,177.0
BAH,2007,539000.0,1039.0,11.0,181.0
BAR,1966,0.0,247.0,0.0,0.0
BAR,1967,0.0,249.0,0.0,0.0
BAR,1968,0.0,252.0,0.0,0.0
BAR,1969,0.0,253.0,0.0,0.0
BAR,1970,0.0,239.0,0.0,0.0
BAR,1971,600.0,240.0,0.0,0.0
BAR,1972,800.0,242.0,0.0,0.0
BAR,1973,1000.0,243.0,0.0,0.0
BAR,1974,1000.0,244.0,0.0,0.0
BAR,1975,1000.0,246.0,0.0,0.0
BAR,1976,800.0,246.0,0.0,0.0
BAR,1977,1000.0,247.0,0.0,0.0
BAR,1978,1000.0,248.0,0.0,0.0
BAR,1979,3000.0,248.0,2.0,0.0
BAR,1980,10000.0,249.0,1.0,0.0
BAR,1981,11000.0,250.0,1.0,0.0
BAR,1982,8000.0,250.0,1.0,0.0
BAR,1983,9000.0,251.0,1.0,0.0
